codeINSEE,communeINSEE,codePostal,latitude,longitude,departement
31555,TOULOUSE,31300,43.5963814303,1.43167293364,31
13201,MARSEILLE 01,13001,43.2999009436,5.38227869795,13
33522,TALENCE,33400,44.8060817507,-0.591124592873,33
38399,ST JEAN DE BOURNAY,38440,45.4982631773,5.14748470946,38
42218,ST ETIENNE,42100,45.4301235512,4.37913997076,42
22360,TREGUEUX,22950,48.480075769,-2.74506421541,22
66136,PERPIGNAN,66000,42.6965954131,2.89936953979,66
34114,GIGNAC,34150,43.6393937216,3.57384628868,34
69381,LYON 01,69001,45.7699284397,4.82922464978,69
01053,BOURG EN BRESSE,1000,46.2051520382,5.24602125501,1
86194,POITIERS,86000,46.5839207726,0.359947653003,86
85003,AIZENAY,85190,46.7384516809,-1.62702889721,85
49248,OMBREE D'ANJOU,49520,47.7629344972,-1.19300189799,49
22179,FREHEL,22240,48.6348223959,-2.36202603588,22
21231,DIJON,21000,47.3229437965,5.03788805877,21
81065,CASTRES,81100,43.6156511237,2.23787231587,81
64445,PAU,64000,43.3200189773,-0.350337918181,64
81140,LAVAUR,81500,43.6895628711,1.79437213708,81
78356,MAGNY LES HAMEAUX,78114,48.7410207273,2.0519793397,78
53077,COSSE LE VIVIEN,53230,47.94585879,-0.934606329089,53
59544,ST SAULVE,59880,50.3750172475,3.56642418912,59
69256,VAULX EN VELIN,69120,45.7858821061,4.92637767698,69
26252,PORTES LES VALENCE,26800,44.8757833249,4.88408311324,26
06088,NICE,6100,43.7119992661,7.23826889465,6
80716,ST RIQUIER,80135,50.1279792191,1.94290239471,80
29017,BRELES,29810,48.4709032483,-4.68640383039,29
47168,MIRAMONT DE GUYENNE,47800,44.5833450029,0.356429133423,47
76026,ARQUES LA BATAILLE,76880,49.8821767195,1.1367858461,76
34172,MONTPELLIER,34080,43.6134409138,3.86851657896,34
85178,LE POIRE SUR VIE,85170,46.769919754,-1.50488626452,85
13047,ISTRES,13118,43.5502689105,4.9511813524,13
46045,CAJARC,46160,44.494117576,1.83859373388,46
93066,ST DENIS,93200,48.9295650455,2.3592429975,93
89024,AUXERRE,89000,47.793488225,3.58168281761,89
75101,PARIS 01,75001,48.8626304852,2.33629344655,75
11426,VILLEGLY,11600,43.2930208254,2.43699100253,11
91207,EGLY,91520,48.5778313904,2.22141176606,91
33063,BORDEAUX,33000,44.8572445351,-0.57369678116,33
13001,AIX EN PROVENCE,13290,43.5360708378,5.39857444582,13
73011,ALBERTVILLE,73200,45.6683987277,6.40460338643,73
56003,ARRADON,56610,47.6335958588,-2.8220328139,56
49007,ANGERS,49000,47.476837416,-0.556125995444,49
38002,LES ADRETS,38190,45.2586070645,5.99155979387,38
