id_etape,id_lieu,id_covoiturage,duree_depuis_depart,prix_etape
0,7260,0,0,18
1,1774,0,398,15
2,6997,1,0,12
3,6868,1,259,4
4,461,1,356,8
5,3783,1,478,18
6,2464,2,0,7
7,461,2,246,5
8,7253,3,0,18
9,4315,3,124,3
10,4376,4,0,7
11,155,4,262,3
12,490,4,301,5
13,6387,5,0,14
14,5795,5,485,7
15,4380,5,563,5
16,3784,5,752,3
17,7264,6,0,8
18,1364,6,673,3
19,4472,6,776,2
20,1928,6,946,4
21,7365,7,0,4
22,3721,7,571,2
23,4721,7,707,7
24,3985,7,721,2
25,1969,8,0,9
26,3827,8,437,3
27,3821,9,0,4
28,4525,9,366,3
29,35,9,391,13
30,1928,9,530,6
31,7110,10,0,8
32,1261,10,214,4
33,7273,10,385,8
34,7020,10,532,3
35,4380,11,0,17
36,62,11,613,4
37,7403,11,621,8
38,4395,11,778,4
39,4589,11,934,4
40,7105,12,0,12
41,7273,12,382,8
42,56,12,533,11
43,999,13,0,3
44,3817,13,20,5
45,3030,14,0,13
46,2495,15,0,14
47,6875,15,495,10
48,3764,15,600,12
49,3819,15,705,2
50,4560,16,0,5
51,4750,16,234,14
52,1075,16,371,4
53,3847,16,545,8
54,3779,17,0,18
55,1075,18,0,12
56,2612,18,431,4
57,63,18,631,2
58,6111,18,786,2
59,1923,18,896,16
60,3716,19,0,9
61,4524,19,284,5
62,1923,19,433,7
63,3724,19,614,3
64,6139,20,0,20
65,3443,21,0,16
66,4524,21,633,2
67,4459,21,659,13
68,7267,21,722,7
69,2612,22,0,17
70,5305,23,0,14
71,162,23,171,9
72,3753,23,287,8
73,1076,24,0,16
74,3709,24,427,6
75,3828,24,530,15
76,1396,25,0,7
77,2505,25,424,4
78,7091,25,590,2
79,3030,26,0,20
80,4751,26,206,10
81,68,27,0,11
82,3637,27,292,8
83,7046,28,0,14
84,6938,29,0,18
85,3784,29,550,2
86,1710,29,692,12
87,4672,29,761,3
88,677,30,0,18
89,3819,30,294,9
90,1993,30,485,4
91,4007,30,555,8
92,3785,30,565,13
93,6883,31,0,13
94,7042,32,0,20
95,2612,32,287,7
96,6138,32,310,6
97,3325,33,0,14
98,3764,33,198,4
99,6159,34,0,12
100,6280,35,0,5
101,2547,35,142,14
102,4460,36,0,13
103,4514,36,326,4
104,3714,37,0,10
105,1148,37,60,11
106,7289,37,154,2
107,3369,38,0,20
108,3895,39,0,16
109,7282,39,514,5
110,7278,39,643,5
111,3652,40,0,4
112,5306,41,0,15
113,4793,41,504,3
114,1774,41,696,11
115,4260,41,837,5
116,3711,42,0,13
117,6357,42,141,11
118,7274,42,256,3
119,6768,43,0,17
120,3976,43,363,2
121,651,43,511,5
122,3729,44,0,19
123,3765,45,0,19
124,5879,46,0,19
125,3754,46,138,6
126,5942,47,0,5
127,3819,47,271,2
128,4294,47,462,2
129,6800,48,0,17
130,3730,49,0,9
131,3767,49,271,8
