id_festival,nom_manifestation,date_debut,date_fin,site_web,tarif_pass,lieu_principal,codeINSEE,domaine,sous_domaine,nbPassTotal
0,"¡ RIO LOCO ! GARONNE, LE FESTIVAL",2024-06-13,2024-06-16,www.rio-loco.org,13,TOULOUSE,31555,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,242
1,¡ Viva Villa !,2024-09-30,2024-10-08,www.vivavilla.info,24,MARSEILLE,13201,TRANSDISCIPLINAIRE,TRANSDISCIPLINAIRE,161
2,"1, 2, 3, MUSIQUE",2024-03-12,2024-03-23,www.grandpiano.fr,18,TALENCE,33522,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,260
3,100 DÉTOURS,2024-09-23,2024-10-01,www.jaspir.com,27,ST JEAN DE BOURNAY,38399,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,222
4,1001 BASS MUSIC FESTIVAL,2024-10-19,2024-10-21,http://www.1001bass.net,11,ST ETIENNE,42218,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,140
5,20 min de bonheur en plus,2024-01-27,2024-01-28,http://www.bleu-pluriel.com,35,Tregueux,22360,CIRQUE ET ARTS DE LA RUE,ARTS DE LA RUE,177
6,20/20,2024-07-21,2024-08-21,https://fr-fr.facebook.com/vingtsurvingtfestival/,34,PERPIGNAN,66136,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,123
7,31 NOTES D'ÉTÉ,2024-07-14,2024-08-20,www.haute-garonne.fr,31,TOULOUSE,31555,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,87
8,34 TOURS,2024-11-17,2024-11-18,http://www.herault.fr/34-tours,20,Gignac,34114,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,257
9,6EME CONTINENT,2024-06-06,2024-06-09,www.sixiemecontinent.net,21,LYON,69381,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,84
