id_commune,codeINSEE,communeINSEE,codePostal,latitude_x,longitude_x,departement,id_lieu,nom_lieu,adresse_lieu,commune,code_INSEE_Lieu,type_lieu,longitude_y,latitude_y
4,38399,ST JEAN DE BOURNAY,38440,45.4982631773,5.14748470946,38,3029,Parking Salle Claire delage,Salle Claire Delage,ST JEAN DE BOURNAY,38399,Parking,5.1448578,45.4998537
4,38399,ST JEAN DE BOURNAY,38440,45.4982631773,5.14748470946,38,3030,Parking Saint-Jean de Bournay,Salle Claire Delage,ST JEAN DE BOURNAY,38399,Parking,5.144,45.5
5,42218,ST ETIENNE,42100,45.4301235512,4.37913997076,42,3443,Parc Relais du Zénith,2 Rue Jean Servanton. 42000 Saint-étienne,ST ETIENNE,42218,Parking relais,4.394129,45.453217
5,42218,ST ETIENNE,42100,45.4301235512,4.37913997076,42,3444,Parc Relais G. Guichard,3 Allée des Fréres Gauthier. 42000 Saint-étienne,ST ETIENNE,42218,Parking relais,4.38641,45.459875
6,22360,TREGUEUX,22950,48.480075769,-2.74506421541,22,1302,Aire de covoiturage La Crarée,échangeur de la Crarée RD 10 - RD 27 - RD 222,TREGUEUX,22360,Aire de covoiturage,-2.750257156,48.47715316
7,66136,PERPIGNAN,66000,42.6965954131,2.89936953979,66,6064,Aire de Covoiturage de Saint Assiscle,Rond Point de la Massane - Avenue de Prades Perpignan,PERPIGNAN,66136,Aire de covoiturage,2.87237698489584,42.6985497304572
7,66136,PERPIGNAN,66000,42.6965954131,2.89936953979,66,6065,Aire de Covoiturage de Panchot,1995 Avenue Julien Panchot 66000 Perpignan,PERPIGNAN,66136,Aire de covoiturage,2.86400609087645,42.6832618992266
7,66136,PERPIGNAN,66000,42.6965954131,2.89936953979,66,6066,Parking de covoiturage de Perpignan Sud,D900A-D612A - Giratoire Euroméditerranée,PERPIGNAN,66136,Aire de covoiturage,2.857504104806164,42.67059295139308
8,34114,GIGNAC,34150,43.6393937216,3.57384628868,34,2144,Aire de covoiturage de Gignac,D32. 34150 Gignac,GIGNAC,34114,Aire de covoiturage,3.544436,43.64683
11,86194,POITIERS,86000,46.5839207726,0.359947653003,86,7162,Parking de covoiturage de Poitiers Nord,A10 Sortie 29 Poitiers Nord,POITIERS,86194,Aire de covoiturage,0.343598,46.620867
12,85003,AIZENAY,85190,46.7384516809,-1.62702889721,85,6927,Aire de covoiturage de La Caserne des Pompiers,Rue du Stade. 85190 Aizenay,AIZENAY,85003,Aire de covoiturage,-1.6081,46.7371
12,85003,AIZENAY,85190,46.7384516809,-1.62702889721,85,6928,Aire de covoiturage des Centaurées,Impasse de. L'Orgeriére. 85190 Aizenay,AIZENAY,85003,Aire de covoiturage,-1.6187,46.7348
12,85003,AIZENAY,85190,46.7384516809,-1.62702889721,85,6929,Parking de La Gare,12 Route du Poiré. 85190 Aizenay,AIZENAY,85003,Parking,-1.6025,46.7389
12,85003,AIZENAY,85190,46.7384516809,-1.62702889721,85,6930,Aire de covoiturage de La Caserne des Pompiers,Rue du Stade. 85190 Aizenay,AIZENAY,85003,Aire de covoiturage,-1.6081,46.7371
12,85003,AIZENAY,85190,46.7384516809,-1.62702889721,85,6931,Aire de covoiturage des Centaurées,Impasse de. L'Orgeriére. 85190 Aizenay,AIZENAY,85003,Aire de covoiturage,-1.6187,46.7348
12,85003,AIZENAY,85190,46.7384516809,-1.62702889721,85,6932,Parking de La Gare,12 Route du Poiré. 85190 Aizenay,AIZENAY,85003,Parking,-1.6025,46.7389
22,69256,VAULX EN VELIN,69120,45.7858821061,4.92637767698,69,6378,Parking Stade Jomard,Stade Jomard,VAULX EN VELIN,69256,Parking,4.929895,45.7742164
23,26252,PORTES LES VALENCE,26800,44.8757833249,4.88408311324,26,1420,Aire de covoiturage de la place de la libération,9 Rue Emile Zola. 26800 Portes-lés-Valence,PORTES LES VALENCE,26252,Aire de covoiturage,4.879165,44.873724
23,26252,PORTES LES VALENCE,26800,44.8757833249,4.88408311324,26,1421,Aire de covoiturage de l'espace Cristal,Rue Charles de Gaulle. 07800 Charmes-sur-Rhéne,PORTES LES VALENCE,26252,Aire de covoiturage,4.871997,44.859929
30,85178,LE POIRE SUR VIE,85170,46.769919754,-1.50488626452,85,7089,Aire de covoiturage de La Martelle,26 Rue de la Martelle. 85170 Le Poiré-sur-Vie,LE POIRE SUR VIE,85178,Aire de covoiturage,-1.5061,46.7701
30,85178,LE POIRE SUR VIE,85170,46.769919754,-1.50488626452,85,7090,Parking du Roc,1 Place de l'église. 85170 Le Poiré-sur-Vie,LE POIRE SUR VIE,85178,Parking,-1.5108,46.7683
30,85178,LE POIRE SUR VIE,85170,46.769919754,-1.50488626452,85,7091,Aire de covoiturage de La Martelle,26 Rue de la Martelle. 85170 Le Poiré-sur-Vie,LE POIRE SUR VIE,85178,Aire de covoiturage,-1.5061,46.7701
30,85178,LE POIRE SUR VIE,85170,46.769919754,-1.50488626452,85,7092,Parking du Roc,1 Place de l'église. 85170 Le Poiré-sur-Vie,LE POIRE SUR VIE,85178,Parking,-1.5108,46.7683
41,56003,ARRADON,56610,47.6335958588,-2.8220328139,56,4685,Aire de covoiturage de Botquelen,28 Route de Parc Botquelen. 56610 Arradon,ARRADON,56003,Aire de covoiturage,-2.818309,47.64101
64,62041,ARRAS,62000,50.2898964997,2.76587316711,62,5338,Covoiturage SANEF Arras,A1 Sortie 15,ARRAS,62041,Sortie d'autoroute,2.863659,50.269056
68,59350,LILLE,59160,50.6317183168,3.04783272312,59,4856,Petit Maroc,"B'Twin Village, Rue du Professeur Langevin, 59000 Lille",LILLE,59350,Parking,3.0833456182,50.6201221014
69,2B033,BASTIA,20200,42.6864768806,9.42502133338,2B,1771,P+R de Toga,Chemin du Furcone,BASTIA,2B033,Parking relais,9.452273554,42.70808906
69,2B033,BASTIA,20200,42.6864768806,9.42502133338,2B,1772,Sampieru Corsu,Avenue Sampiero Corso (croisement RT11 - RD264),BASTIA,2B033,Parking,9.4449162,42.6773422
69,2B033,BASTIA,20200,42.6864768806,9.42502133338,2B,1773,Monoprix de Lupino,Croisement RT11 et av Liberation,BASTIA,2B033,Parking,9.4442779,42.6774427
69,2B033,BASTIA,20200,42.6864768806,9.42502133338,2B,1774,P+R front de mer,Route du front de mer,BASTIA,2B033,Parking relais,9.4459194,42.6864498
69,2B033,BASTIA,20200,42.6864768806,9.42502133338,2B,1775,Place du Marche,Rue Sebastiano d'Alzetto,BASTIA,2B033,Parking,9.4509029,42.6972375
69,2B033,BASTIA,20200,42.6864768806,9.42502133338,2B,1776,U Portu di Toga - Port de Toga,Port de Toga,BASTIA,2B033,Parking,9.4537675,42.707582
81,11076,CASTELNAUDARY,11400,43.3230173159,1.96073752488,11,485,Parking de covoiturage de Castelnaudary,A61 Sortie 21 Castelnaudary,CASTELNAUDARY,11076,Aire de covoiturage,1.951646,43.292797
82,79329,THOUARS,79100,46.9828628407,-0.199581467021,79,6716,Parking Route André Colas,Route du Docteur André Colas,THOUARS,79329,Parking,-0.184166667,46.97333333
85,3084,COSNE D ALLIER,3430,46.482962805,2.82323006329,3,76,Parking du Bourg,Place de la LIberté (face garage Renault),COSNE D ALLIER,03084,Parking,2.83054592,46.47558623
87,64422,OLORON STE MARIE,64400,43.1560871189,-0.587546244432,64,5941,Aire de covoiturage de la Plaine Sportive,Route de la Pierre Saint-Martin RD919,OLORON STE MARIE,64422,Aire de covoiturage,-0.627918,43.184557
87,64422,OLORON STE MARIE,64400,43.1560871189,-0.587546244432,64,5942,Aire de covoiturage de la Salle Palas,6 Avenue de Lattre de Tassigny,OLORON STE MARIE,64422,Aire de covoiturage,-0.619685,43.192547
90,67371,LA PETITE PIERRE,67290,48.8657597248,7.32734776032,67,6172,Parking Centre Culturel,65 Rue Principale. 67290 La Petite-Pierre,LA PETITE PIERRE,67371,Parking,7.31925,48.862491
91,53054,CHANGE,53810,48.1079801148,-0.800104772023,53,4559,Aire de covoiturage de La Martiniére - Changé,D31,CHANGE,53054,Aire de covoiturage,-0.84443195,48.10669944
91,53054,CHANGE,53810,48.1079801148,-0.800104772023,53,4560,Parking Relais Technopolis,Rue Albert Einstein,CHANGE,53054,Parking relais,-0.75431018,48.08996984
91,53054,CHANGE,53810,48.1079801148,-0.800104772023,53,4561,Aire de covoiturage de La Martiniére - Changé,D31,CHANGE,53054,Aire de covoiturage,-0.84443195,48.10669944
91,53054,CHANGE,53810,48.1079801148,-0.800104772023,53,4562,Parking Relais Technopolis,Rue Albert Einstein,CHANGE,53054,Parking relais,-0.75431018,48.08996984
91,53054,CHANGE,53810,48.1079801148,-0.800104772023,53,6444,Parking de covoiturage du Mans ZI Sud,A28 Sortie 23 Le Mans ZI Sud,CHANGE,72058,Aire de covoiturage,0.311337,48.005521
99,63113,CLERMONT FERRAND,63100,45.7856492991,3.11554542903,63,5818,Parking Place Henri dunant,72 Rue des Liondards. 63000 Clermont-Ferrand,CLERMONT FERRAND,63113,Parking,3.08982784,45.76181601
100,30189,NIMES,30900,43.844938394,4.34806796996,30,1811,Parking de covoiturage de Nîmes Est,A9 Sortie 24 Nîmes Est,NIMES,30189,Aire de covoiturage,4.418366,43.857835
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3703,Aire de covoiturage Bois des Anses,Route de Sainte Luce,NANTES,44109,Aire de covoiturage,-1.495068533,47.24705844
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3704,Aire de covoiturage Carrefour Beaujoire,1 Avenue Flora Tristan,NANTES,44109,Aire de covoiturage,-1.509832157,47.25787791
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3705,Parking Feydeau,Parvis Neptune,NANTES,44109,Aire de covoiturage,-1.55255879,47.2140753
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3706,Parking Gare Nord,Cours John Kennedy,NANTES,44109,Aire de covoiturage,-1.544984341,47.21668904
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3707,Parking Graslin,Rue Scribe,NANTES,44109,Aire de covoiturage,-1.562571823,47.21431021
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3708,Parking Talensac,Rue Le Nétre,NANTES,44109,Aire de covoiturage,-1.558357306,47.22025598
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3709,Parking Tour Bretagne,4 Place de Bretagne,NANTES,44109,Aire de covoiturage,-1.558250026,47.21784289
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3710,Port Autonome de Nantes Saint Nazaire,18 Quai Ernest Renaud,NANTES,44109,Aire de covoiturage,-1.574711361,47.20551112
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3711,Port de L'Erdre,Quai de Versailles,NANTES,44109,Aire de covoiturage,-1.553724604,47.22520358
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3712,Service Maritime Et Navigation Ecluse Saint Félix,Quai Ferdinand Favre,NANTES,44109,Aire de covoiturage,-1.540899006,47.21252861
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3713,Capitainerie du Port Atlantique Nantes Saint Nazaire,Quai Ernest Renaud,NANTES,44109,Parking,-1.573981398,47.20540078
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3714,P+R Busway Bourdonniéres,Rue des Bourdonniéres,NANTES,44109,Parking relais,-1.521337484,47.18597421
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3715,P+R Busway Gréneraie,Route de Saint Sébastien,NANTES,44109,Parking relais,-1.53333363,47.20013904
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3716,P+R Chronobus Chantrerie - Grandes Ecoles,Route de Gachet,NANTES,44109,Parking relais,-1.518474602,47.28109415
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3717,P+R Chronobus Prairie de Mauves,Boulevard de la Prairie de Mauves,NANTES,44109,Parking relais,-1.515851362,47.22025584
