id_covoiturage,couleur,date_depart,marque,modele,nb_place,nb_place_dispo,id_utilisateur,festival
0,Teal,2024-06-23 06:40:59.000000,Toyota,Yaris,3,,9353.0,1377
1,LightCoral,2024-04-05 17:51:33.000000,Ford,F150,4,,36320.0,2786
2,Chocolate,2024-04-15 14:58:36.000000,Chevrolet,Monte,1,,18760.0,938
3,PapayaWhip,2024-06-16 15:54:23.000000,BMW,7,3,,74093.0,2558
4,Turquoise,2024-05-15 08:07:36.000000,Ford,F150,2,,77208.0,266
5,Navy,2024-02-09 00:09:08.000000,Acura,Integra,2,,65727.0,687
6,Tomato,2024-08-29 04:13:22.000000,INFINITI,M,1,,96641.0,1584
7,DarkTurquoise,2024-07-20 23:55:09.000000,Chevrolet,Silverado,3,,2284.0,13
8,Magenta,2024-02-08 18:43:36.000000,GMC,Sierra,2,,57867.0,446
9,Turquoise,2024-03-24 12:43:29.000000,Isuzu,Trooper,1,,28906.0,1038
10,SaddleBrown,2024-02-20 01:23:08.000000,Nissan,Pathfinder,4,,32355.0,2012
11,Brown,2024-07-16 16:11:29.000000,FIAT,500,3,,19924.0,2556
12,NavajoWhite,2024-06-14 09:35:25.000000,Volkswagen,Routan,2,,90584.0,1477
13,MidnightBlue,2024-06-28 06:51:08.000000,Chevrolet,Sonic,1,,83256.0,2405
14,Sienna,2024-04-06 07:25:33.000000,Nissan,Altima,4,,28751.0,2787
15,MediumTurquoise,2024-01-29 11:54:51.000000,Chevrolet,2500,4,,45345.0,1193
16,SlateBlue,2024-03-12 11:03:15.000000,Toyota,Yaris,4,,64590.0,2726
17,OldLace,2024-08-24 12:31:41.000000,Ford,E350,3,,85595.0,826
18,Orchid,2024-02-12 00:28:42.000000,Subaru,Impreza,1,,56113.0,1213
19,MediumAquaMarine,2024-08-14 09:04:59.000000,Dodge,Caravan,3,,17447.0,2311
20,SeaGreen,2024-03-13 04:32:47.000000,Chevrolet,Express,1,,39869.0,1735
21,BlanchedAlmond,2024-08-14 14:20:11.000000,Chrysler,Prowler,2,,37249.0,1966
22,DeepPink,2024-08-30 18:48:48.000000,Ford,Fusion,1,,30246.0,160
23,Chartreuse,2024-08-16 06:16:52.000000,Subaru,Forester,1,,7269.0,2153
24,LightYellow,2024-05-12 16:16:38.000000,INFINITI,Q,2,,73091.0,2175
25,SeaShell,2024-02-08 16:53:56.000000,Toyota,4Runner,3,,24801.0,619
26,DarkOrange,2024-05-30 05:23:36.000000,Chevrolet,Colorado,2,,54151.0,756
27,Blue,2024-07-28 17:02:48.000000,Kia,Optima,1,,13838.0,2638
28,DarkViolet,2024-08-24 18:51:34.000000,Chrysler,Aspen,1,,6433.0,2331
29,AntiqueWhite,2024-03-09 13:34:06.000000,GMC,2500,2,,16849.0,681
30,MintCream,2024-06-08 00:28:23.000000,Chevrolet,Sonic,2,,61953.0,55
31,LemonChiffon,2024-05-25 07:49:32.000000,Honda,Pilot,3,,59443.0,1974
32,Plum,2024-05-31 23:28:44.000000,Lexus,LS,4,,31938.0,2485
33,LightGoldenRodYellow,2024-03-13 06:11:46.000000,Maserati,Quattroporte,1,,37218.0,125
34,DarkGray,2024-03-24 23:49:08.000000,Toyota,Matrix,3,,35803.0,1742
