id_lieu,nom_lieu,adresse_lieu,commune,code_INSEE_Lieu,type_lieu,longitude,latitude
0,Parking intermodal Gare d'Ambérieu en Bugey,"Rue Emile Bravet, Ambérieu en Bugey",AMBERIEU-EN-BUGEY,01004,Parking,5.34119617,45.956598704
1,Arrêt covoit'ici Ambérieu en Bugey,Gare d'Ambérieu en Bugey,AMBERIEU-EN-BUGEY,01004,Auto-stop,5.34272020620408,45.954232106707
2,Mairie d'Attignat,Place De La Fontaine- Anciens Combattants,ATTIGNAT,01024,Parking,5.158352778,46.28957222
3,Bourg-Nord,Dept. 01 - Autoroute A40 - Diffuseur n°5,ATTIGNAT,01024,Aire de covoiturage,5.168004,46.259779
4,Parking de covoiturage du Revirat,RD 1084 - BALAN (Sortie n°6 Balan),BALAN,01027,Aire de covoiturage,5.099374,45.850267
5,Balan,Dept. 01 - Autoroute A42 - Diffuseur n°6,BALAN,01027,Sortie d'autoroute,5.1003936,45.850757
6,Beaupont,Dept. 01 - Autoroute A39 - Diffuseur n°10,BEAUPONT,01029,Aire de covoiturage,5.26919,46.440334
7,Aire de covoiturage Montluel,La Boisse,LA BOISSE,01049,Aire de covoiturage,5.048432,45.840543
8,Parking de covoiturage des Pré-Seigneurs,Avenue des Pré-seigneurs - La BOISSE ,LA BOISSE,01049,Aire de covoiturage,5.049643,45.842463
9,Buellas,Place feux Corgenon D45,BUELLAS,01065,Parking,5.1578889,46.1966036
10,Champfromier,Route des Burgondes,Champfromier,01081,Auto-stop,5.81559,46.1935000
11,Aire de covoiturage Château-Gaillard,Dept. 01 - Autoroute A42 - Diffuseur n°8,CHATEAU-GAILLARD,01089,Sortie d'autoroute,5.312245,45.97676748
12,Parking Bel Air,Route De Neuville - Parking Bel Air,CHATILLON SUR CHALARONNE,01093,Parking,4.964663889,46.12900556
13,Parking La Genetiere,Route De Bourg - La Genetiere,CHAVEYRIAT,01096,Parking,5.073319444,46.17810278
14,Place du Monument,Route De Condeissiat - Place Du Monument,CHAVEYRIAT,01096,Parking,5.059761111,46.19888333
15,Place du Logis Neuf,Place Du Logis Neuf,CONFRANCON,01115,Parking,5.055497222,46.25655278
16,Corveissiat,place Charles Blétel le long de la RD 936 ,CORVEISSIAT,01125,Parking,5.480195,46.24133
17,Crottet,sortie d'autoroute au rond point ,CROTTET,01134,Aire de covoiturage,4.8749,46.28444
18,Pont-de-Veyle ,Gare de Pont-de-Veyle,CROTTET,01134,Aire de covoiturage,4.89233,46.26777
19,Place de L'Eglise,Route De Pont D'Ain - Monument Aux Morts,DRUILLAT,01151,Parking,5.31775,46.05911111
20,Place Sans Souci,Place Sans Souci,JASSERON,01195,Parking,5.3263,46.21393889
21,Parking Chemin de L'Ecole,Chemin De L'école,JAYAT,01196,Parking,5.119902778,46.36907222
22,Arrêt Covoit'Ici Leyment,D77 Leyment,LEYMENT,01213,Auto-stop,5.29363609551392,45.9232284166074
23,Arrêt Covoit'ici Loyettes,"Rue du Bugey, Loyettes",LOYETTES,01224,Auto-stop,5.21134013935319,45.7778304685121
24,Place de L'Eglise,Place De L'église,MARSONNAS,01236,Parking,5.071047222,46.34124722
25,Parking intermodal Gare de Meximieux Pérouges,"Chemin des Verchères, Meximieux",MEXIMIEUX,01244,Parking,5.193117661,45.9012415
26,Place de Bohas,D979 Place De Bohas,BOHAS MEYRIAT RIGNAT,01245,Parking,5.388425,46.15994722
27,Aire de covoiturage du Mionnay,Mionnay,MIONNAY,01248,Sortie d'autoroute,4.899796871,45.8831017
28,Aire de covoiturage de Mionnay (01390),Sortie d'autoroute Demi-échangeur A46,MIONNAY,01248,Aire de covoiturage,4.8997728,45.883082
29,MISÉRIEUX- Chemin du Gouverneur,"337 Grande Rue, 01600 Misérieux",MISERIEUX,01250,Aire de covoiturage,4.809038,45.976695
30,Aire de covoiturage ,"RD933, 01140 Mogneneins (à l'arrêt de bus RD933 Centre) ",MOGNENEINS,01252,Aire de covoiturage,4.80670263,46.14092377
31,Place General de gaulle,Place Du Général De Gaulle,MONTREVEL EN BRESSE,01266,Parking,5.125961111,46.33573333
32,Montrevel,place De Gaulle,MONTREVEL-EN-BRESSE,01266,Parking,5.1269114963524,46.3361873
33,"Parking de covoiturage, La Côte",780 Route de Balan - Dept. 01 - Autoroute A42 - Diffuseur n° 5.1,NIEVROZ,01276,Aire de covoiturage,5.05087933,45.8379163
34,Aire de covoiturage Pérouges,Pérouges,PEROUGES,01290,Sortie d'autoroute,5.182171,45.860683
