idLieu,nomLieu,adresseLieu,commune,codeINSEELieu,typeLieu,longitude_x,latitude_x,codeINSEE,communeINSEE,codePostal,latitude_y,longitude_y,departement
2,Mairie d'Attignat,Place De La Fontaine- Anciens Combattants,ATTIGNAT,01024,Parking,5.158352778,46.28957222,01024,ATTIGNAT,1340.0,46.2861802203,5.1795233845,1.0
3,Bourg-Nord,Dept. 01 - Autoroute A40 - Diffuseur nÂ°5,ATTIGNAT,01024,Aire de covoiturage,5.168004,46.259779,01024,ATTIGNAT,1340.0,46.2861802203,5.1795233845,1.0
7,Aire de covoiturage Montluel,La Boisse,LA BOISSE,01049,Aire de covoiturage,5.048432,45.840543,01049,LA BOISSE,1120.0,45.8446213549,5.02783224111,1.0
8,Parking de covoiturage des PrÃ©-Seigneurs,Avenue des PrÃ©-seigneurs - La BOISSE ,LA BOISSE,01049,Aire de covoiturage,5.049643,45.842463,01049,LA BOISSE,1120.0,45.8446213549,5.02783224111,1.0
34,Aire de covoiturage PÃ©rouges,PÃ©rouges,PEROUGES,01290,Sortie d'autoroute,5.182171,45.860683,01290,PEROUGES,1800.0,45.8803945768,5.17955874977,1.0
35,Aire de covoiturage A42 Meximieux Perouges,Dept. 01 - Autoroute A42 - Diffuseur nÂ°7,PEROUGES,01290,Aire de covoiturage,5.18408351337754,45.8597518026284,01290,PEROUGES,1800.0,45.8803945768,5.17955874977,1.0
56,TRÃVOUX - Saint Mamet,"5 rue Robert BaltiÃ©, 01600 TRÃVOUX",TREVOUX,01427,Aire de covoiturage,4.768434,45.940257,01427,TREVOUX,1600.0,45.940671655,4.7714415007,1.0
57,TrÃ©voux - Chantegrillet,Rue de la Montluelde 01600 TrÃ©voux,TREVOUX,01427,Aire de covoiturage,4.780993,45.940813,01427,TREVOUX,1600.0,45.940671655,4.7714415007,1.0
62,Covoiturage SANEF ChÃ¢teau-Thierry,A4 Sortie 20 La Planchette 02400 BÃ©zu-Saint-Germain,CHATEAU THIERRY,02168,Sortie d'autoroute,3.400251563,49.07858266,02168,CHATEAU THIERRY,2400.0,49.0564070801,3.38160004843,2.0
63,Carrefour Chateau Thierry,37 Avenue d'EssÃ©mes. 02400 ChÃ©teau-Thierry,CHATEAU THIERRY,02168,SupermarchÃ©,3.387474767,49.0406979,02168,CHATEAU THIERRY,2400.0,49.0564070801,3.38160004843,2.0
64,Leclerc ChÃ©teau Thierry,12 Rue de la Plaine. 02400 ChÃ©teau-Thierry,CHATEAU THIERRY,02168,SupermarchÃ©,3.389779016,49.03736798,02168,CHATEAU THIERRY,2400.0,49.0564070801,3.38160004843,2.0
68,Covoiturage SANEF Laon,A26 Sortie 13,LAON,02408,Sortie d'autoroute,3.663693,49.606902,02408,LAON,2000.0,49.5679724897,3.62089561902,2.0
76,Parking du Bourg,Place de la LIbertÃ© (face garage Renault),COSNE D ALLIER,03084,Parking,2.83054592,46.47558623,03084,COSNE D ALLIER,3430.0,46.482962805,2.82323006329,3.0
81,Parking Thomassots,Les Thomassots,DOMPIERRE SUR BESBRE,03102,Parking,3.68849384,46.51791574,03102,DOMPIERRE SUR BESBRE,3290.0,46.5305895294,3.67644076991,3.0
82,Aire de covoiturage des Chillins,Les Chillins proximitÃ© echangeur A71-A719,GANNAT,03118,Aire de covoiturage,3.13837825,46.10311391,03118,GANNAT,3800.0,46.0984192073,3.17790823629,3.0
83,Place Saint-James,Place Saint James,GANNAT,03118,Parking,3.19906571,46.09634674,03118,GANNAT,3800.0,46.0984192073,3.17790823629,3.0
84,Za Les Clos durs,ZA les Clos Durs,GANNAT,03118,Parking,3.2030103,46.11107088,03118,GANNAT,3800.0,46.0984192073,3.17790823629,3.0
96,Parking Saint-Jean,Route de NÃ©ris,MONTLUCON,03185,Parking,2.6099707,46.32602626,03185,MONTLUCON,3100.0,46.3385883496,2.60390499777,3.0
126,Parking AllÃ©e des Pins,4 AllÃ©e des Pins. 04400 Barcelonnette,BARCELONNETTE,04019,Parking,6.635163,44.386475,04019,BARCELONNETTE,4400.0,44.3785614205,6.65215089713,4.0
132,Parking DÃ©cathlon Route de Marseille,5 Route de Marseille. 04000 Digne-les-Bains,DIGNE LES BAINS,04070,Parking,6.17887,44.069529,04070,DIGNE LES BAINS,4000.0,44.0908723554,6.23590323452,4.0
137,Parking de covoiturage de Manosque,A51 Sortie 18 Manosque,MANOSQUE,04112,Aire de covoiturage,5.811568,43.808712,04112,MANOSQUE,4100.0,43.8354040831,5.79106654173,4.0
140,Parking du Croisement D460 et Rn202 (Au Passage Ã  Niveau),D460. 04240 Saint-BenoÃ©t,ST BENOIT,04174,Parking,6.724074,43.960158,86214,ST BENOIT,86280.0,46.5486469496,0.352443691442,86.0
155,Parc Relais La CanardiÃ©re,Zone Industrielle De La CanardiÃ©re. Avenue du MarÃ©chal Lyautey. 06210 Mandelieu-la-Napoule,MANDELIEU LA NAPOULE,06079,Parking relais,6.946097,43.553332,06079,MANDELIEU LA NAPOULE,6210.0,43.5380510468,6.91808936542,6.0
156,Parc Relais Giratoire PÃ©nÃ©trante,600 Route de la Roquette. 06370 Mouans-Sartoux,MOUANS SARTOUX,06084,Parking relais,6.967739,43.612562,06084,MOUANS SARTOUX,6370.0,43.6185304023,6.96494426706,6.0
158,Station de service Alba la Romaine,D263A. 07400 Alba-la-Romaine,ALBA LA ROMAINE,07005,Parking,4.595806,44.56277,07005,ALBA LA ROMAINE,7400.0,44.5544439142,4.59597695147,7.0
162,Plaisance,5 Chemin d'Aurives. 07160 Le Cheylard,LE CHEYLARD,07064,Parking,4.428552,44.911867,07064,LE CHEYLARD,7160.0,44.9076391858,4.42108479359,7.0
180,Parking du rond point D120,D120. 07320 Saint-AgrÃ©ve,ST AGREVE,07204,Parking,4.401874,45.006689,07204,ST AGREVE,7320.0,45.0052980637,4.41285687419,7.0
187,Parking en face l'Eglise ReformÃ©e,1 Place du Jardin Public. 07190 Saint-Sauveur-de-Montagut,ST SAUVEUR DE MONTAGUT,07295,Parking,4.57777,44.820196,07295,ST SAUVEUR DE MONTAGUT,7190.0,44.8202271347,4.57255179328,7.0
198,Parking Salle des fÃ©tes,1005-2 Rue RenÃ© Cassin. 07800 La Voulte-sur-RhÃ©ne,LA VOULTE SUR RHONE,07349,Parking,4.785377,44.802728,07349,LA VOULTE SUR RHONE,7800.0,44.8015403943,4.78018830634,7.0
459,Parking covoiturage D0374,D0374,AUXON,10018,Parking,3.9183815,48.1031225,10018,AUXON,10130.0,48.0923181622,3.92346188322,10.0
460,Parking D0004B,D0004B,BAR SUR AUBE,10033,Parking,4.7075607,48.2299391,10033,BAR SUR AUBE,10200.0,48.2339751025,4.71595700167,10.0
461,Parking D0013,D0013,BAR SUR AUBE,10033,Parking,4.715208,48.2304895,10033,BAR SUR AUBE,10200.0,48.2339751025,4.71595700167,10.0
477,Parking D0056,D0056,PLANCY L ABBAYE,10289,Parking,3.9600325,48.5717405,10289,PLANCY L ABBAYE,10380.0,48.5851575322,3.98528853809,10.0
