ID,Nombre de Places,Marque,Modèle,Couleur,Date de Départ
0,3,Toyota,Yaris,Teal,2024-06-23 06:40:59
1,4,Ford,F150,LightCoral,2024-04-05 17:51:33
2,1,Chevrolet,Monte,Chocolate,2024-04-15 14:58:36
3,3,BMW,7,PapayaWhip,2024-06-16 15:54:23
4,2,Ford,F150,Turquoise,2024-05-15 08:07:36
5,2,Acura,Integra,Navy,2024-02-09 00:09:08
6,1,INFINITI,M,Tomato,2024-08-29 04:13:22
7,3,Chevrolet,Silverado,DarkTurquoise,2024-07-20 23:55:09
8,2,GMC,Sierra,Magenta,2024-02-08 18:43:36
9,1,Isuzu,Trooper,Turquoise,2024-03-24 12:43:29
10,4,Nissan,Pathfinder,SaddleBrown,2024-02-20 01:23:08
11,3,FIAT,500,Brown,2024-07-16 16:11:29
12,2,Volkswagen,Routan,NavajoWhite,2024-06-14 09:35:25
13,1,Chevrolet,Sonic,MidnightBlue,2024-06-28 06:51:08
14,4,Nissan,Altima,Sienna,2024-04-06 07:25:33
15,4,Chevrolet,2500,MediumTurquoise,2024-01-29 11:54:51
16,4,Toyota,Yaris,SlateBlue,2024-03-12 11:03:15
17,3,Ford,E350,OldLace,2024-08-24 12:31:41
18,1,Subaru,Impreza,Orchid,2024-02-12 00:28:42
19,3,Dodge,Caravan,MediumAquaMarine,2024-08-14 09:04:59
20,1,Chevrolet,Express,SeaGreen,2024-03-13 04:32:47
21,2,Chrysler,Prowler,BlanchedAlmond,2024-08-14 14:20:11
22,1,Ford,Fusion,DeepPink,2024-08-30 18:48:48
23,1,Subaru,Forester,Chartreuse,2024-08-16 06:16:52
24,2,INFINITI,Q,LightYellow,2024-05-12 16:16:38
25,3,Toyota,4Runner,SeaShell,2024-02-08 16:53:56
26,2,Chevrolet,Colorado,DarkOrange,2024-05-30 05:23:36
27,1,Kia,Optima,Blue,2024-07-28 17:02:48
28,1,Chrysler,Aspen,DarkViolet,2024-08-24 18:51:34
29,2,GMC,2500,AntiqueWhite,2024-03-09 13:34:06
30,2,Chevrolet,Sonic,MintCream,2024-06-08 00:28:23
31,3,Honda,Pilot,LemonChiffon,2024-05-25 07:49:32
32,4,Lexus,LS,Plum,2024-05-31 23:28:44
33,1,Maserati,Quattroporte,LightGoldenRodYellow,2024-03-13 06:11:46
34,3,Toyota,Matrix,DarkGray,2024-03-24 23:49:08
35,3,Land,Rover,LightSlateGray,2024-08-24 07:20:10
36,3,Volkswagen,Rabbit,PaleTurquoise,2024-05-25 15:39:08
37,4,Buick,Century,Orange,2024-04-15 21:03:08
38,3,MAZDA,MPV,LightCyan,2024-06-20 07:13:52
39,4,Audi,S4,MistyRose,2024-08-12 22:56:30
