code_insee,code_postal,latitude,longitude,nom_commune,departement
31555,31300,43.5963814303,1.43167293364,TOULOUSE,31
13201,13001,43.2999009436,5.38227869795,MARSEILLE 01,13
33522,33400,44.8060817507,-0.591124592873,TALENCE,33
38399,38440,45.4982631773,5.14748470946,ST JEAN DE BOURNAY,38
42218,42100,45.4301235512,4.37913997076,ST ETIENNE,42
22360,22950,48.480075769,-2.74506421541,TREGUEUX,22
66136,66000,42.6965954131,2.89936953979,PERPIGNAN,66
34114,34150,43.6393937216,3.57384628868,GIGNAC,34
69381,69001,45.7699284397,4.82922464978,LYON 01,69
01053,1000,46.2051520382,5.24602125501,BOURG EN BRESSE,1
86194,86000,46.5839207726,0.359947653003,POITIERS,86
85003,85190,46.7384516809,-1.62702889721,AIZENAY,85
49248,49520,47.7629344972,-1.19300189799,OMBREE D'ANJOU,49
22179,22240,48.6348223959,-2.36202603588,FREHEL,22
21231,21000,47.3229437965,5.03788805877,DIJON,21
81065,81100,43.6156511237,2.23787231587,CASTRES,81
64445,64000,43.3200189773,-0.350337918181,PAU,64
81140,81500,43.6895628711,1.79437213708,LAVAUR,81
78356,78114,48.7410207273,2.0519793397,MAGNY LES HAMEAUX,78
53077,53230,47.94585879,-0.934606329089,COSSE LE VIVIEN,53
59544,59880,50.3750172475,3.56642418912,ST SAULVE,59
69256,69120,45.7858821061,4.92637767698,VAULX EN VELIN,69
26252,26800,44.8757833249,4.88408311324,PORTES LES VALENCE,26
06088,6100,43.7119992661,7.23826889465,NICE,6
80716,80135,50.1279792191,1.94290239471,ST RIQUIER,80
29017,29810,48.4709032483,-4.68640383039,BRELES,29
47168,47800,44.5833450029,0.356429133423,MIRAMONT DE GUYENNE,47
76026,76880,49.8821767195,1.1367858461,ARQUES LA BATAILLE,76
34172,34080,43.6134409138,3.86851657896,MONTPELLIER,34
85178,85170,46.769919754,-1.50488626452,LE POIRE SUR VIE,85
13047,13118,43.5502689105,4.9511813524,ISTRES,13
46045,46160,44.494117576,1.83859373388,CAJARC,46
