id_covoiturage,couleur,date_depart,marque,modele,nb_place,nb_place_dispo,id_conducteur,id_festival
0,Teal,2024-06-23 06:40:59.000000,Toyota,Yaris,3,,9353,1377
1,LightCoral,2024-04-05 17:51:33.000000,Ford,F150,4,,36320,2786
2,Chocolate,2024-04-15 14:58:36.000000,Chevrolet,Monte,1,,18760,938
3,PapayaWhip,2024-06-16 15:54:23.000000,BMW,7,3,,74093,2558
4,Turquoise,2024-05-15 08:07:36.000000,Ford,F150,2,,77208,266
5,Navy,2024-02-09 00:09:08.000000,Acura,Integra,2,,65727,687
6,Tomato,2024-08-29 04:13:22.000000,INFINITI,M,1,,96641,1584
7,DarkTurquoise,2024-07-20 23:55:09.000000,Chevrolet,Silverado,3,,2284,13
8,Magenta,2024-02-08 18:43:36.000000,GMC,Sierra,2,,57867,446
9,Turquoise,2024-03-24 12:43:29.000000,Isuzu,Trooper,1,,28906,1038
10,SaddleBrown,2024-02-20 01:23:08.000000,Nissan,Pathfinder,4,,32355,2012
11,Brown,2024-07-16 16:11:29.000000,FIAT,500,3,,19924,2556
12,NavajoWhite,2024-06-14 09:35:25.000000,Volkswagen,Routan,2,,90584,1477
13,MidnightBlue,2024-06-28 06:51:08.000000,Chevrolet,Sonic,1,,83256,2405
14,Sienna,2024-04-06 07:25:33.000000,Nissan,Altima,4,,28751,2787
15,MediumTurquoise,2024-01-29 11:54:51.000000,Chevrolet,2500,4,,45345,1193
16,SlateBlue,2024-03-12 11:03:15.000000,Toyota,Yaris,4,,64590,2726
17,OldLace,2024-08-24 12:31:41.000000,Ford,E350,3,,85595,826
18,Orchid,2024-02-12 00:28:42.000000,Subaru,Impreza,1,,56113,1213
19,MediumAquaMarine,2024-08-14 09:04:59.000000,Dodge,Caravan,3,,17447,2311
20,SeaGreen,2024-03-13 04:32:47.000000,Chevrolet,Express,1,,39869,1735
21,BlanchedAlmond,2024-08-14 14:20:11.000000,Chrysler,Prowler,2,,37249,1966
22,DeepPink,2024-08-30 18:48:48.000000,Ford,Fusion,1,,30246,160
23,Chartreuse,2024-08-16 06:16:52.000000,Subaru,Forester,1,,7269,2153
24,LightYellow,2024-05-12 16:16:38.000000,INFINITI,Q,2,,73091,2175
25,SeaShell,2024-02-08 16:53:56.000000,Toyota,4Runner,3,,24801,619
26,DarkOrange,2024-05-30 05:23:36.000000,Chevrolet,Colorado,2,,54151,756
27,Blue,2024-07-28 17:02:48.000000,Kia,Optima,1,,13838,2638
28,DarkViolet,2024-08-24 18:51:34.000000,Chrysler,Aspen,1,,6433,2331
29,AntiqueWhite,2024-03-09 13:34:06.000000,GMC,2500,2,,16849,681
30,MintCream,2024-06-08 00:28:23.000000,Chevrolet,Sonic,2,,61953,55
31,LemonChiffon,2024-05-25 07:49:32.000000,Honda,Pilot,3,,59443,1974
32,Plum,2024-05-31 23:28:44.000000,Lexus,LS,4,,31938,2485
33,LightGoldenRodYellow,2024-03-13 06:11:46.000000,Maserati,Quattroporte,1,,37218,125
34,DarkGray,2024-03-24 23:49:08.000000,Toyota,Matrix,3,,35803,1742
35,LightSlateGray,2024-08-24 07:20:10.000000,Land,Rover,3,,19081,898
36,PaleTurquoise,2024-05-25 15:39:08.000000,Volkswagen,Rabbit,3,,97537,2253
37,Orange,2024-04-15 21:03:08.000000,Buick,Century,4,,91032,1807
38,LightCyan,2024-06-20 07:13:52.000000,MAZDA,MPV,3,,20498,594
39,MistyRose,2024-08-12 22:56:30.000000,Audi,S4,4,,87954,399
40,Wheat,2024-06-06 18:34:25.000000,Toyota,Tundra,3,,87953,1900
41,SeaGreen,2024-04-16 03:18:53.000000,Chevrolet,S10,4,,87047,1307
42,DarkSalmon,2024-05-02 15:20:02.000000,Mercedes-Benz,E-Class,4,,18066,2172
43,Red,2024-08-09 18:21:32.000000,Jaguar,X-Type,1,,25912,1922
44,LemonChiffon,2024-05-24 17:20:54.000000,Ram,2500,3,,38391,1717
45,LightCoral,2024-08-28 11:11:38.000000,Nissan,Versa,1,,52020,434
46,Cornsilk,2024-07-06 06:07:29.000000,Dodge,Ram,4,,73524,1010
47,SpringGreen,2024-09-01 18:59:39.000000,Chevrolet,TrailBlazer,3,,75828,1810
48,Snow,2024-05-14 18:30:33.000000,Buick,Encore,4,,10677,897
49,HotPink,2024-08-11 07:23:46.000000,FIAT,500e,4,,11375,2630
50,LightBlue,2024-08-18 02:32:54.000000,Nissan,Rogue,4,,9337,594
51,Gray,2024-05-16 12:49:13.000000,Toyota,Corolla,2,,911,526
52,Red,2024-06-20 17:59:55.000000,Tesla,Model,4,,96056,574
53,SkyBlue,2024-06-02 02:02:49.000000,Ford,Flex,4,,84133,829
54,LimeGreen,2024-05-03 19:27:12.000000,Ford,E350,4,,22559,2142
55,Crimson,2024-02-15 12:04:12.000000,BMW,X4,4,,19384,1954
56,Snow,2024-05-24 17:00:54.000000,Dodge,D250,4,,3051,1251
57,Orchid,2024-07-10 17:13:05.000000,Saturn,L-Series,4,,36798,2175
58,Snow,2024-08-15 07:38:30.000000,BMW,X4,1,,59583,1125
59,LightYellow,2024-01-28 23:55:20.000000,Hyundai,Elantra,2,,56658,2501
60,SpringGreen,2024-09-07 05:12:01.000000,Toyota,Tacoma,1,,32410,286
61,DarkOrchid,2024-07-19 22:33:23.000000,Dodge,Ram,2,,48640,44
62,Red,2024-04-11 04:13:13.000000,Mitsubishi,Diamante,2,,17396,1517
63,Snow,2024-01-24 15:21:12.000000,Nissan,TITAN,2,,38362,536
64,FireBrick,2024-03-04 08:38:43.000000,Chevrolet,Impala,3,,20172,1889
65,Khaki,2024-03-27 13:20:48.000000,Acura,MDX,1,,96774,2298
66,MintCream,2024-01-23 20:39:18.000000,Dodge,Ram,3,,82375,1757
67,DarkOrange,2024-05-12 16:30:35.000000,Lexus,GX,3,,52602,1667
68,LightSteelBlue,2024-08-26 08:19:44.000000,GMC,Sierra,4,,85816,2637
69,Purple,2024-08-18 00:55:33.000000,Audi,A6,1,,58216,500
70,Navy,2024-08-21 13:00:51.000000,Dodge,Ram,3,,34165,1061
71,Beige,2024-02-01 11:03:31.000000,Mercury,Grand,3,,54478,1094
72,MintCream,2024-04-24 03:19:48.000000,Lexus,GS,4,,56851,252
73,DeepSkyBlue,2024-07-08 05:53:30.000000,GMC,3500,1,,37743,875
74,AliceBlue,2024-03-17 08:59:46.000000,Mercedes-Benz,300,2,,44469,1872
75,Thistle,2024-08-30 02:50:36.000000,Toyota,Camry,1,,80378,1401
76,Orchid,2024-07-21 13:12:34.000000,HUMMER,H3,1,,75688,162
77,DeepSkyBlue,2024-03-26 03:04:55.000000,Toyota,Land,4,,87827,636
78,Red,2024-03-05 08:21:44.000000,Subaru,Forester,2,,4863,1144
79,YellowGreen,2024-07-31 19:20:50.000000,Subaru,Impreza,2,,37606,1473
80,BurlyWood,2024-03-18 12:43:50.000000,Honda,Element,3,,37593,1557
81,CornflowerBlue,2024-04-01 08:22:35.000000,Chevrolet,1500,4,,61257,161
82,Khaki,2024-06-02 01:35:56.000000,Land,Rover,4,,19295,294
83,LightPink,2024-04-20 14:39:53.000000,Chevrolet,Equinox,3,,13810,434
84,Silver,2024-08-29 21:27:09.000000,GMC,Sierra,2,,19304,2181
