id_etape,duree_depuis_depart,prix_etape,id_covoiturage,id_lieu
102785,271,4,34203,6930
102786,375,3,34203,3740
102787,407,3,34203,4482
102788,564,9,34203,1364
102789,0,3,34204,7092
102790,385,7,34204,3846
102791,442,4,34204,1936
102792,444,14,34204,490
102793,0,10,34205,7403
102794,309,16,34205,7266
102795,481,14,34205,3606
102796,493,8,34205,7004
102797,0,10,34206,2401
102798,570,3,34206,6938
102799,0,20,34207,3751
102800,0,10,34208,4525
102801,0,13,34209,3753
102802,321,4,34209,7074
102803,413,5,34209,7017
102804,0,12,34210,4116
102805,630,5,34210,5850
102806,705,5,34210,6280
102807,882,2,34210,4394
102808,948,4,34210,4721
102809,0,3,34211,677
102810,0,15,34212,7082
102811,428,9,34212,4518
102812,531,12,34212,2495
102813,555,2,34212,3963
102814,0,12,34213,4535
102815,441,15,34213,3749
102816,0,17,34214,3592
102817,329,3,34214,7081
102818,403,9,34214,6930
102820,316,12,34215,7107
102821,431,11,34215,1186
102822,538,3,34215,7269
102823,713,13,34215,3887
102824,0,6,34216,3822
102825,29,12,34216,4793
102826,34,2,34216,3651
102827,132,5,34216,4133
102828,192,2,34216,460
102829,0,17,34217,3977
102830,619,3,34217,3848
102831,0,18,34218,3986
102832,343,7,34218,2144
102833,393,3,34218,3711
102834,524,3,34218,3417
102835,687,3,34218,1811
102836,0,18,34219,3369
102838,0,13,34220,2528
102839,561,15,34220,3856
102840,679,2,34220,3847
102841,727,13,34220,3848
102842,868,6,34220,6329
102843,0,19,34221,6300
102844,627,18,34221,1150
102845,0,12,34222,3710
102846,488,3,34222,3368
102847,0,15,34223,1263
102848,440,16,34223,7282
102849,626,3,34223,4685
102850,823,14,34223,1923
102851,0,5,34224,1969
102853,436,4,34224,3983
102854,0,14,34225,7091
102855,347,13,34225,3771
102856,375,2,34225,6823
102857,0,15,34226,4752
102858,271,14,34226,96
102859,312,8,34226,3746
102860,0,7,34227,3846
102861,493,2,34227,3
102862,677,13,34227,162
102863,0,14,34228,4672
102864,68,9,34228,1418
102865,95,4,34228,7282
102866,295,3,34228,7265
102867,0,8,34229,800
102868,322,3,34229,2413
102869,0,14,34230,3881
102870,82,6,34230,3772
102871,157,12,34230,6292
102872,340,4,34230,3788
102873,538,7,34230,162
102874,0,5,34231,3030
102875,0,11,34232,3030
102876,536,11,34232,4141
102877,0,17,34233,7263
102878,311,13,34233,6292
102879,329,16,34233,34
102880,485,4,34233,7262
102881,666,10,34233,3443
102882,0,15,34234,3760
102883,255,2,34234,3469
102884,282,6,34234,4562
0,0,18,0,7260
1,398,15,0,1774
2,0,12,1,6997
3,259,4,1,6868
4,356,8,1,461
5,478,18,1,3783
6,0,7,2,2464
7,246,5,2,461
8,0,18,3,7253
9,124,3,3,4315
10,0,7,4,4376
11,262,3,4,155
12,301,5,4,490
13,0,14,5,6387
14,485,7,5,5795
15,563,5,5,4380
16,752,3,5,3784
17,0,8,6,7264
18,673,3,6,1364
19,776,2,6,4472
20,946,4,6,1928
21,0,4,7,7365
22,571,2,7,3721
23,707,7,7,4721
24,721,2,7,3985
25,0,9,8,1969
26,437,3,8,3827
27,0,4,9,3821
28,366,3,9,4525
29,391,13,9,35
30,530,6,9,1928
31,0,8,10,7110
32,214,4,10,1261
33,385,8,10,7273
34,532,3,10,7020
35,0,17,11,4380
36,613,4,11,62
37,621,8,11,7403
38,778,4,11,4395
39,934,4,11,4589
40,0,12,12,7105
41,382,8,12,7273
42,533,11,12,56
43,0,3,13,999
44,20,5,13,3817
45,0,13,14,3030
46,0,14,15,2495
47,495,10,15,6875
48,600,12,15,3764
49,705,2,15,3819
50,0,5,16,4560
51,234,14,16,4750
52,371,4,16,1075
53,545,8,16,3847
54,0,18,17,3779
55,0,12,18,1075
56,431,4,18,2612
57,631,2,18,63
58,786,2,18,6111
59,896,16,18,1923
60,0,9,19,3716
61,284,5,19,4524
62,433,7,19,1923
63,614,3,19,3724
64,0,20,20,6139
65,0,16,21,3443
66,633,2,21,4524
67,659,13,21,4459
68,722,7,21,7267
69,0,17,22,2612
70,0,14,23,5305
71,171,9,23,162
72,287,8,23,3753
73,0,16,24,1076
74,427,6,24,3709
75,530,15,24,3828
76,0,7,25,1396
77,424,4,25,2505
78,590,2,25,7091
79,0,20,26,3030
80,206,10,26,4751
81,0,11,27,68
82,292,8,27,3637
83,0,14,28,7046
84,0,18,29,6938
85,550,2,29,3784
86,692,12,29,1710
87,761,3,29,4672
88,0,18,30,677
89,294,9,30,3819
90,485,4,30,1993
91,555,8,30,4007
92,565,13,30,3785
93,0,13,31,6883
94,0,20,32,7042
95,287,7,32,2612
96,310,6,32,6138
97,0,14,33,3325
98,198,4,33,3764
99,0,12,34,6159
102885,0,9,34235,3744
102886,501,7,34235,3708
102887,668,11,34235,6293
102889,0,10,34236,3
102890,223,14,34236,7045
102891,0,3,34237,6657
100,0,5,35,6280
101,142,14,35,2547
102,0,13,36,4460
103,326,4,36,4514
104,0,10,37,3714
105,60,11,37,1148
106,154,2,37,7289
107,0,20,38,3369
108,0,16,39,3895
109,514,5,39,7282
110,643,5,39,7278
111,0,4,40,3652
112,0,15,41,5306
113,504,3,41,4793
114,696,11,41,1774
115,837,5,41,4260
116,0,13,42,3711
117,141,11,42,6357
118,256,3,42,7274
119,0,17,43,6768
120,363,2,43,3976
121,511,5,43,651
122,0,19,44,3729
123,0,19,45,3765
124,0,19,46,5879
125,138,6,46,3754
126,0,5,47,5942
127,271,2,47,3819
128,462,2,47,4294
129,0,17,48,6800
130,0,9,49,3730
131,271,8,49,3767
132,0,8,50,3891
133,0,19,51,7277
135,352,4,51,2495
136,417,18,51,6932
137,504,3,51,4329
138,0,12,52,4513
139,318,6,52,461
140,358,11,52,4513
141,470,10,52,35
142,474,2,52,4809
143,0,20,53,4678
144,369,15,53,1773
145,459,6,53,2215
146,0,14,54,3509
147,413,6,54,4460
148,445,7,54,1438
149,507,2,54,3826
150,621,3,54,3781
151,0,13,55,4246
152,297,12,55,4007
153,412,7,55,3821
154,478,8,55,1400
155,0,6,56,999
156,408,10,56,7258
157,476,10,56,2401
158,0,11,57,4514
159,324,17,57,3774
160,482,14,57,1011
161,0,9,58,485
162,422,3,58,2049
163,622,9,58,6299
164,725,14,58,1977
165,743,3,58,4460
166,0,15,59,3825
167,0,12,60,6327
168,93,3,60,4472
169,167,6,60,7090
170,217,9,60,7047
171,0,4,61,3513
172,507,3,61,3768
173,511,7,61,4809
174,0,20,62,7110
175,547,3,62,6938
176,708,2,62,3707
177,830,9,62,4519
178,918,19,62,2430
179,0,20,63,3702
180,445,4,63,6444
181,526,13,63,3679
182,592,11,63,3853
183,637,4,63,3733
184,0,7,64,3744
185,497,18,64,2499
186,610,15,64,3983
187,744,20,64,3439
188,771,5,64,2499
189,0,10,65,6930
190,0,11,66,3750
191,624,9,66,6378
192,633,3,66,3743
193,690,5,66,4533
194,0,15,67,3736
195,514,18,67,1694
196,626,4,67,1771
197,0,8,68,4792
198,343,5,68,2464
102892,154,10,34237,3727
102893,0,6,34238,1011
102894,91,11,34238,6884
102895,289,3,34238,1396
102896,301,10,34238,7262
