id_festival,date_debut,date_fin,lieu_principal,nb_pass_dispo,nb_pas_indispo,nb_pass_total,nom,site_web,status,tarif_pass,commune,domaine,sous_domaine
0,2024-06-13,2024-06-16,TOULOUSE,,,242,"¡ RIO LOCO ! GARONNE, LE FESTIVAL",www.rio-loco.org,,13,31555,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE
1,2024-09-30,2024-10-08,MARSEILLE,,,161,¡ Viva Villa !,www.vivavilla.info,,24,13201,TRANSDISCIPLINAIRE,TRANSDISCIPLINAIRE
2,2024-03-12,2024-03-23,TALENCE,,,260,"1, 2, 3, MUSIQUE",www.grandpiano.fr,,18,33522,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
3,2024-09-23,2024-10-01,ST JEAN DE BOURNAY,,,222,100 DÉTOURS,www.jaspir.com,,27,38399,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
4,2024-10-19,2024-10-21,ST ETIENNE,,,140,1001 BASS MUSIC FESTIVAL,http://www.1001bass.net,,11,42218,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
5,2024-01-27,2024-01-28,Tregueux,,,177,20 min de bonheur en plus,http://www.bleu-pluriel.com,,35,22360,CIRQUE ET ARTS DE LA RUE,ARTS DE LA RUE
6,2024-07-21,2024-08-21,PERPIGNAN,,,123,20/20,https://fr-fr.facebook.com/vingtsurvingtfestival/,,34,66136,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
7,2024-07-14,2024-08-20,TOULOUSE,,,87,31 NOTES D'ÉTÉ,www.haute-garonne.fr,,31,31555,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
8,2024-11-17,2024-11-18,Gignac,,,257,34 TOURS,http://www.herault.fr/34-tours,,20,34114,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
9,2024-06-06,2024-06-09,LYON,,,84,6EME CONTINENT,www.sixiemecontinent.net,,21,69381,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE
10,2024-03-30,2024-04-14,BOURG EN BRESSE,,,140,7 BIS CHEMIN DE TRAVERSE,http://www.resonancecontemporaine.org,,28,01053,PLURIDISCIPLINAIRE MUSIQUE,PLURIDISCIPLINAIRE MUSIQUE
11,2024-06-14,2024-06-16,POITIERS,,,210,A lOuest,http://lablaiserie.centres-sociaux.fr/festivites-programmation/festival-de-rue-a-louest/,,32,86194,CIRQUE ET ARTS DE LA RUE,ARTS DE LA RUE
12,2024-07-22,2024-09-02,BOURG EN BRESSE,,,53,À LA FOLIE PAS DU TOUT,www.monastere-de-brou.fr,,18,01053,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
13,2024-06-10,2024-06-10,AIZENAY,,,146,A L'AIZE FEST,,,34,85003,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
14,2024-06-02,2024-06-04,LA PREVIERE,,,122,A L'ART RUE,www.alartlibre.com,,30,49248,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
15,2024-07-19,2024-08-11,FREHEL,,,151,A L'EST DES DUNES - Jazz à Sables d'or,www.alestdesdunes.com,,33,22179,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
16,2024-02-09,2024-02-23,DIJON,,,207,A Pas Contés,www.apascontes.fr,,26,21231,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
17,2024-07-17,2024-07-19,CASTRES,,,187,A PORTEE DE RUE,www.ville-castres.fr/kiosque/festival-portee-de-rue-programme-2018,,16,81065,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES
18,2024-10-05,2024-10-07,PAU,,,286,A TANT REVER DU ROI,www.atrdr.net/festival,,26,64445,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
19,2024-10-06,2024-10-08,Lavaur,,,240,A TEMPO,www.a-tempo.fr,,29,81140,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES
20,2024-03-15,2024-04-07,MAGNY LES HAMEAUX,,,92,A TOUT BOUT DE CHANT,www.magny-les-hameaux.fr,,19,78356,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
21,2024-03-14,2024-03-23,COSSE LE VIVIEN,,,263,A TRAVERS CHANTS,www.festivalatraverschants.over-blog.com,,21,53077,MUSIQUES ACTUELLES,CHANSON
22,2024-03-01,2024-03-30,ST SAULVE,,,57,A TRAVERS CHANTS,www.atraverschants.org,,19,59544,MUSIQUES ACTUELLES,CHANSON
23,2024-03-11,2024-03-30,VAULX EN VELIN,,,188,A VAULX JAZZ,www.avaulxjazz.com,,27,69256,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
24,2024-05-16,2024-06-01,LYON,,,199,A VOUS DE JOUER,https://www.lenombrildumonde.com/a-vous-de-jouer/,,28,69381,DIVERS SPECTACLE VIVANT,HUMOUR
25,2024-03-18,2024-03-23,PORTES LES VALENCE,,,296,AAH ! LES DEFERLANTES !,www.train-theatre.fr,,29,26252,MUSIQUES ACTUELLES,CHANSON
26,2024-06-15,2024-06-16,NICE,,,134,ABADIE FESTIVAL MUSIQUE,,,9,06088,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
27,2024-07-04,2024-07-16,ST RIQUIER,,,79,ABBAYE DE SAINT-RIQUIER,www.ccr-abbaye-saint-riquier.fr,,19,80716,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES
28,2024-11-03,2024-12-01,BRELES,,,166,ABERS BLUES,www.hot-club-jazz-iroise.fr/,,13,29017,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
29,2024-09-10,2024-10-07,MIRAMONT DE GUYENNE,,,162,ABRACADA'SONS,http://www.paysdelauzun.com/fr,,27,47168,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
30,2024-06-10,2024-06-10,LYON,,,175,ABSOLUTE GOSPEL,www.absolutegospel.net,,8,69381,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
31,2024-08-22,2024-08-26,ARQUES LA BATAILLE,,,212,Académie Bach,www.academie-bach.fr,,11,76026,MUSIQUES CLASSIQUES,BAROQUE ET ANCIEN
32,2024-09-22,2024-09-24,MONTPELLIER,,,188,ACCORDEON PLURIEL,www.accordeonpluriel.fr,,11,34172,PLURIDISCIPLINAIRE MUSIQUE,PLURIDISCIPLINAIRE MUSIQUE
33,2024-09-08,2024-09-09,MARSEILLE,,,197,ACONTRALUZ,http://www.acontraluz.fr/,,20,13201,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
34,2024-03-22,2024-03-24,Le Poire sur Vie,,,148,Acoustic Festival,www.acoustic-festival.fr,,21,85178,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
35,2024-09-26,2024-10-14,MARSEILLE,,,203,Actoral,http://www.actoral.org,,24,13201,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
36,2024-05-18,2024-05-19,ISTRES,,,192,AEROBD,http://aerobd-istres.fr/,,23,13047,LIVRE ET LITTÉRATURE,BANDE DESSINÉE
37,2024-07-20,2024-07-23,CAJARC,,,268,AFRICAJARC,www.africajarc.com,,24,46045,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE
38,2024-11-17,2024-12-23,ST DENIS,,,188,AFRICOLOR,www.africolor.com,,30,93066,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE
39,2024-10-05,2024-11-25,AUXERRE,,,222,AFRIK' AU COEUR,https://www.afrikaucoeur.fr/home,,25,89024,TRANSDISCIPLINAIRE,CULTURES D'AFRIQUE
40,2024-07-15,2024-07-16,PARIS,,,275,Afropunk Festival,www.afropunkfest.com,,26,75101,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
41,2024-03-22,2024-03-24,Villegly,,,113,AGIT AL SOL,www.musicalsol.fr/,,21,11426,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
42,2024-04-06,2024-04-06,EGLY,,,280,AGLA'SCÈNES,www.aglascenes.com,,28,91207,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
43,2024-06-02,2024-06-04,BORDEAUX,,,276,AHOY MUSIQUES DE PLAISANCE,,,23,33063,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
44,2024-04-11,2024-04-14,PARIS,,,125,AI QUE BOM FESTIVAL,www.aiquebom.com,,22,75101,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE
45,2024-05-18,2024-05-19,AIX EN PROVENCE,,,273,AIX EN PROVOCK,provock.fr,,15,13001,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
46,2024-07-26,2024-07-30,ALBERTVILLE,,,132,Albertville Jazz Festival,www.albertvillejazzfestival.com,,17,73011,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
47,2024-06-07,2024-06-09,ARRADON,,,201,ALGUES AU RYTHME,www.alguesaurythme.com,,24,56003,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
48,2024-03-21,2024-03-23,ANGERS,,,181,ALORS ON SEME,http://jardinsdurire.com,,8,49007,DIVERS SPECTACLE VIVANT,HUMOUR
49,2024-08-24,2024-08-26,Sept Laux Prapoutel,,,150,ALPIN'DUB,http://alpindub.fr/,,8,38002,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
50,2024-01-20,2024-02-03,BRIANCON,,,156,ALTITUDE JAZZ FESTIVAL,www.altitudejazz.com,,22,05023,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
51,2024-05-24,2024-05-26,ALBI,,,206,AMANAD'ARTS,https://www.facebook.com/204372450492559/photos/gm.2406403782979224/272600500336420/?type=3&theater,,23,81004,TRANSDISCIPLINAIRE,ARTS PLATIQUES ET MUSIQUE
52,2024-06-15,2024-06-16,CHATEAUNEUF LES MARTIGUES,,,217,AMERICAN FAIR,https://www.festival-american-fair.com,,22,13026,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
53,2024-07-02,2024-08-16,PARIS,,,296,AMERICAN JAZZ FESTIV'HALLES,www.sunset-sunside.com,,21,75101,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
54,2024-09-15,2024-09-17,TARBES,,,130,AMERICAN SALOON A TARBES,http://www.americansaloon.fr/,,22,65440,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
55,2024-07-14,2024-07-16,TOURS,,,262,AMERICAN TOURS FESTIVAL,www.tours-evenements.com,,29,37261,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
56,2024-01-17,2024-01-26,AMIENS,,,173,Amiens Europe,http://www.maisondelaculture-amiens.com/,,15,80021,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
57,2024-03-11,2024-03-19,AMIENS,,,173,Amiens Tout-monde,http://www.maisondelaculture-amiens.com/,,29,80021,TRANSDISCIPLINAIRE,TRANSDISCIPLINAIRE
58,2024-03-22,2024-03-24,ROCHEGUDE,,,197,AMIS DU JAZZ TRADITIONNEL,www.ajtderochegude.com,,24,26275,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
59,2024-07-01,2024-09-03,ANNECY,,,183,Annecy Paysages,www.annecy-paysages.com,,9,74010,TRANSDISCIPLINAIRE,TRANSDISCIPLINAIRE
60,2024-11-18,2024-11-18,MONTPELLIER,,,122,ANYMAL,https://www.facebook.com/anymalworld,,16,34172,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
61,2024-07-29,2024-08-12,DEAUVILLE,,,201,Août musical de Deauville,https://musiqueadeauville.com/,,25,14220,MUSIQUES CLASSIQUES,MUSIQUE DE CHAMBRE
62,2024-08-18,2024-08-20,Capbreton,,,132,Août of jazz,,,8,40065,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
63,2024-08-11,2024-08-13,BLESLE,,,77,APÉROS MUSIQUE DE BLESLE,www.aperos-musique-blesle.com,,14,43033,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
64,2024-07-17,2024-08-21,ST Pern,,,87,APERO'ZIQUES,www.nefdesfous.wordpress.com,,13,35307,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
65,2024-10-31,2024-12-01,VAISON LA ROMAINE,,,268,Après les vendanges,http://www.apreslesvendanges.com,,14,84137,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
66,2024-09-13,2024-09-24,MONTPELLIER,,,96,Arabesques,www.festivalarabesques.fr,,35,34172,TRANSDISCIPLINAIRE,TRANSDISCIPLINAIRE
67,2024-07-26,2024-08-04,ARCACHON,,,115,ARCACHON EN SCÈNE,http://www.arcachon.com/arcachon_en_scene.html,,27,33009,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
68,2024-06-28,2024-07-01,BLAINVILLE CREVON,,,259,ARCHÉO JAZZ FESTIVAL,www.archeojazz.com,,33,76100,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
69,2024-06-17,2024-06-18,Petit Couronne,,,243,Archifête,https://www.ville-petit-couronne.fr/Services-en-ligne/Agenda/Archifete,,23,76497,CIRQUE ET ARTS DE LA RUE,ARTS DE LA RUE
