id_festival,date_debut,date_fin,lieu_principal,nb_pass_dispo,nb_pass_indispo,nbPassTotal,nom_manifestation,site_web,tarif_pass,id_commune,id_domaine
0,2024-06-13,2024-06-16,TOULOUSE,0,0,242,"¡ RIO LOCO ! GARONNE, LE FESTIVAL",www.rio-loco.org,13,1,0
1,2024-09-30,2024-10-08,MARSEILLE,0,0,161,¡ Viva Villa !,www.vivavilla.info,24,2,1
2,2024-03-12,2024-03-23,TALENCE,0,0,260,"1, 2, 3, MUSIQUE",www.grandpiano.fr,18,3,2
3,2024-09-23,2024-10-01,ST JEAN DE BOURNAY,0,0,222,100 DÉTOURS,www.jaspir.com,27,4,2
4,2024-10-19,2024-10-21,ST ETIENNE,0,0,140,1001 BASS MUSIC FESTIVAL,http://www.1001bass.net,11,5,3
5,2024-01-27,2024-01-28,Tregueux,0,0,177,20 min de bonheur en plus,http://www.bleu-pluriel.com,35,6,4
6,2024-07-21,2024-08-21,PERPIGNAN,0,0,123,20/20,https://fr-fr.facebook.com/vingtsurvingtfestival/,34,7,2
7,2024-07-14,2024-08-20,TOULOUSE,0,0,87,31 NOTES D'ÉTÉ,www.haute-garonne.fr,31,1,5
8,2024-11-17,2024-11-18,Gignac,0,0,257,34 TOURS,http://www.herault.fr/34-tours,20,8,3
9,2024-06-06,2024-06-09,LYON,0,0,84,6EME CONTINENT,www.sixiemecontinent.net,21,9,0
11,2024-06-14,2024-06-16,POITIERS,0,0,210,A lOuest,http://lablaiserie.centres-sociaux.fr/festivites-programmation/festival-de-rue-a-louest/,32,11,4
11,2024-06-14,2024-06-16,POITIERS,0,0,210,A lOuest,http://lablaiserie.centres-sociaux.fr/festivites-programmation/festival-de-rue-a-louest/,32,1243,4
13,2024-06-10,2024-06-10,AIZENAY,0,0,146,A L'AIZE FEST,,34,12,2
14,2024-06-02,2024-06-04,LA PREVIERE,0,0,122,A L'ART RUE,www.alartlibre.com,30,13,2
15,2024-07-19,2024-08-11,FREHEL,0,0,151,A L'EST DES DUNES - Jazz à Sables d'or,www.alestdesdunes.com,33,14,7
16,2024-02-09,2024-02-23,DIJON,0,0,207,A Pas Contés,www.apascontes.fr,26,15,2
17,2024-07-17,2024-07-19,CASTRES,0,0,187,A PORTEE DE RUE,www.ville-castres.fr/kiosque/festival-portee-de-rue-programme-2018,16,16,8
18,2024-10-05,2024-10-07,PAU,0,0,286,A TANT REVER DU ROI,www.atrdr.net/festival,26,17,3
19,2024-10-06,2024-10-08,Lavaur,0,0,240,A TEMPO,www.a-tempo.fr,29,18,8
20,2024-03-15,2024-04-07,MAGNY LES HAMEAUX,0,0,92,A TOUT BOUT DE CHANT,www.magny-les-hameaux.fr,19,19,2
21,2024-03-14,2024-03-23,COSSE LE VIVIEN,0,0,263,A TRAVERS CHANTS,www.festivalatraverschants.over-blog.com,21,20,9
22,2024-03-01,2024-03-30,ST SAULVE,0,0,57,A TRAVERS CHANTS,www.atraverschants.org,19,21,9
23,2024-03-11,2024-03-30,VAULX EN VELIN,0,0,188,A VAULX JAZZ,www.avaulxjazz.com,27,22,7
